station,hour,latitude,longitude,temperature,closest_station_1_temp,closest_station_2_temp,closest_station_3_temp,closest_1_distance,closest_2_distance,closest_3_distance,humidityAvg,windspeed,dewpt,heatindex,precipRate,day_of_year,adjusted_lst,valueImperviousfraction,valueTreefraction,valueBuildingheight,valueNearestDistWater,valueWaterfraction,valueLandcover,valueBuildingfraction,beg_time
KWIMADIS134,0,43.038223,-89.470428,19.896551724137932,19.413793103448278,18.79310344827586,19.82758620689655,0.005240506941127791,0.007620164893230487,0.013677695164025278,89.3103448275862,0.27586206896551724,17.96551724137931,20.551724137931036,0.006896551724137932,196.0,1.698308881675249,20.166666666666668,24.0,13.67,670.407050916,0.0,21.0,14.9683,2021-07-01
KWIMADIS134,1,43.038223,-89.470428,19.137931034482758,18.79310344827586,18.103448275862068,18.93103448275862,0.005240506941127791,0.007620164893230487,0.013677695164025278,90.82758620689656,0.27586206896551724,17.517241379310345,19.75862068965517,0.2651724137931034,196.0,1.8072298042653303,20.166666666666668,24.0,13.67,670.407050916,0.0,21.0,14.9683,2021-07-01
KWIMADIS134,2,43.038223,-89.470428,18.586206896551722,18.20689655172414,17.482758620689655,18.448275862068964,0.005240506941127791,0.007620164893230487,0.013677695164025278,92.41379310344827,0.3793103448275862,17.24137931034483,19.17241379310345,0.8313793103448277,196.0,1.9161507268554117,20.166666666666668,24.0,13.67,670.407050916,0.0,21.0,14.9683,2021-07-01
KWIMADIS134,3,43.038223,-89.470428,18.24137931034483,17.862068965517242,17.24137931034483,18.103448275862068,0.005240506941127791,0.007620164893230487,0.013677695164025278,93.06896551724138,0.2413793103448276,17.17241379310345,18.79310344827586,0.8313793103448277,196.0,1.2740729335334455,20.166666666666668,24.0,13.67,670.407050916,0.0,21.0,14.9683,2021-07-01
KWIMADIS134,4,43.038223,-89.470428,18.06896551724138,17.655172413793103,16.93103448275862,17.79310344827586,0.005240506941127791,0.007620164893230487,0.013677695164025278,93.55172413793103,0.3793103448275862,16.96551724137931,18.413793103448278,0.8410344827586207,196.0,0.6319951402114796,20.166666666666668,24.0,13.67,670.407050916,0.0,21.0,14.9683,2021-07-01
KWIMADIS134,5,43.038223,-89.470428,17.82758620689655,17.517241379310345,16.79310344827586,17.620689655172413,0.005240506941127791,0.007620164893230487,0.013677695164025278,93.72413793103448,0.41379310344827586,16.79310344827586,18.275862068965516,0.8513793103448276,196.0,1.3290649916423585,20.166666666666668,24.0,13.67,670.407050916,0.0,21.0,14.9683,2021-07-01
KWIMADIS134,6,43.038223,-89.470428,18.0,17.689655172413794,17.137931034482758,17.896551724137932,0.005240506941127791,0.007620164893230487,0.013677695164025278,93.13793103448276,0.5517241379310345,17.0,19.0,0.8513793103448276,196.0,0.8266143221028805,20.166666666666668,24.0,13.67,670.407050916,0.0,21.0,14.9683,2021-07-01
KWIMADIS134,7,43.038223,-89.470428,19.17241379310345,18.79310344827586,18.655172413793103,19.137931034482758,0.005240506941127791,0.007620164893230487,0.013677695164025278,89.44827586206897,0.5517241379310345,17.517241379310345,20.517241379310345,0.8513793103448276,196.0,0.084718222548755,20.166666666666668,24.0,13.67,670.407050916,0.0,21.0,14.9683,2021-07-01
KWIMADIS134,8,43.038223,-89.470428,21.275862068965516,20.24137931034483,21.620689655172413,20.620689655172413,0.005240506941127791,0.007620164893230487,0.013677695164025278,82.93103448275862,0.9310344827586207,18.137931034482758,22.586206896551722,0.8513793103448276,196.0,0.022385696395339404,20.166666666666668,24.0,13.67,670.407050916,0.0,21.0,14.9683,2021-07-01
KWIMADIS134,9,43.038223,-89.470428,22.620689655172413,22.03448275862069,25.20689655172414,21.93103448275862,0.005240506941127791,0.007620164893230487,0.013677695164025278,78.3103448275862,1.1379310344827587,18.586206896551722,24.448275862068964,0.8513793103448276,196.0,0.4198454630201134,20.166666666666668,24.0,13.67,670.407050916,0.0,21.0,14.9683,2021-07-01
