hour,latitude,longitude,temperature
14,-86566.21867334137,643589.2520737598,27.032258064516128
15,-86566.21867334137,643589.2520737598,26.838709677419356
16,-86566.21867334137,643589.2520737598,26.483870967741936
17,-86566.21867334137,643589.2520737598,26.866666666666667
18,-86566.21867334137,643589.2520737598,26.419354838709676
19,-86566.21867334137,643589.2520737598,25.133333333333333
20,-86566.21867334137,643589.2520737598,22.833333333333332
21,-86566.21867334137,643589.2520737598,21.5
22,-86566.21867334137,643589.2520737598,20.733333333333334
23,-86566.21867334137,643589.2520737598,20.1
0,-76178.76388355954,649891.7515329721,19.483870967741936
1,-76178.76388355954,649891.7515329721,18.677419354838708
2,-76178.76388355954,649891.7515329721,18.129032258064516
3,-76178.76388355954,649891.7515329721,17.838709677419356
4,-76178.76388355954,649891.7515329721,17.483870967741936
5,-76178.76388355954,649891.7515329721,17.161290322580644
6,-76178.76388355954,649891.7515329721,17.612903225806452
7,-76178.76388355954,649891.7515329721,18.838709677419356
8,-76178.76388355954,649891.7515329721,20.612903225806452
9,-76178.76388355954,649891.7515329721,22.032258064516128
10,-76178.76388355954,649891.7515329721,23.322580645161292
11,-76178.76388355954,649891.7515329721,24.93548387096774
12,-76178.76388355954,649891.7515329721,26.161290322580644
13,-76178.76388355954,649891.7515329721,26.741935483870968
14,-76178.76388355954,649891.7515329721,27.096774193548388
15,-76178.76388355954,649891.7515329721,27.225806451612904
16,-76178.76388355954,649891.7515329721,27.516129032258064
17,-76178.76388355954,649891.7515329721,27.193548387096776
18,-76178.76388355954,649891.7515329721,26.193548387096776
19,-76178.76388355954,649891.7515329721,24.70967741935484
20,-76178.76388355954,649891.7515329721,23.0
21,-76178.76388355954,649891.7515329721,21.483870967741936
22,-76178.76388355954,649891.7515329721,20.612903225806452
23,-76178.76388355954,649891.7515329721,19.967741935483872
0,-85621.65853506284,654768.1859685824,20.387096774193548
1,-85621.65853506284,654768.1859685824,19.516129032258064
2,-85621.65853506284,654768.1859685824,18.93548387096774
3,-85621.65853506284,654768.1859685824,18.612903225806452
4,-85621.65853506284,654768.1859685824,18.258064516129032
5,-85621.65853506284,654768.1859685824,18.06451612903226
6,-85621.65853506284,654768.1859685824,18.419354838709676
7,-85621.65853506284,654768.1859685824,19.548387096774192
8,-85621.65853506284,654768.1859685824,21.096774193548388
9,-85621.65853506284,654768.1859685824,22.64516129032258
10,-85621.65853506284,654768.1859685824,23.838709677419356
11,-85621.65853506284,654768.1859685824,25.06451612903226
12,-85621.65853506284,654768.1859685824,26.096774193548388
13,-85621.65853506284,654768.1859685824,26.70967741935484
14,-85621.65853506284,654768.1859685824,27.06451612903226
15,-85621.65853506284,654768.1859685824,27.193548387096776
16,-85621.65853506284,654768.1859685824,27.258064516129032
17,-85621.65853506284,654768.1859685824,27.133333333333333
18,-85621.65853506284,654768.1859685824,26.3
19,-85621.65853506284,654768.1859685824,25.193548387096776
20,-85621.65853506284,654768.1859685824,23.774193548387096
21,-85621.65853506284,654768.1859685824,22.548387096774192
22,-85621.65853506284,654768.1859685824,21.70967741935484
23,-85621.65853506284,654768.1859685824,20.903225806451612
0,-77961.21961906245,655923.9017901483,19.387096774193548
1,-77961.21961906245,655923.9017901483,18.64516129032258
2,-77961.21961906245,655923.9017901483,18.032258064516128
3,-77961.21961906245,655923.9017901483,17.612903225806452
4,-77961.21961906245,655923.9017901483,17.322580645161292
5,-77961.21961906245,655923.9017901483,17.06451612903226
6,-77961.21961906245,655923.9017901483,17.516129032258064
7,-77961.21961906245,655923.9017901483,19.129032258064516
8,-77961.21961906245,655923.9017901483,22.483870967741936
9,-77961.21961906245,655923.9017901483,24.64516129032258
10,-77961.21961906245,655923.9017901483,25.258064516129032
11,-77961.21961906245,655923.9017901483,26.419354838709676
12,-77961.21961906245,655923.9017901483,27.387096774193548
13,-77961.21961906245,655923.9017901483,27.548387096774192
14,-77961.21961906245,655923.9017901483,27.870967741935484
15,-77961.21961906245,655923.9017901483,27.903225806451612
16,-77961.21961906245,655923.9017901483,27.806451612903224
17,-77961.21961906245,655923.9017901483,27.387096774193548
18,-77961.21961906245,655923.9017901483,26.70967741935484
19,-77961.21961906245,655923.9017901483,25.387096774193548
